ID,Year-Month,Parthenia_juvenile,Parthenia_subadult,Parthenia_adult,Eliza_juvenile,Eliza_subadult,Eliza_adult,Discharge_BS,Parthenia_sedcov,Parthenia_filalgae,Eliza_sedcov,Eliza_filalgae
45,2006/06,1,3,0,158,232,237,28.9,52.83,7,41.25,3.75
46,2006/07,0,5,0,110,188,94,26.4,56.16,1.27,11.75,2
47,2006/08,1,0,0,127,242,82,21.8,61.83,19.05,15,7.33
48,2006/09,0,1,0,34,120,55,20.8,60.33,4.85,28.75,30
49,2006/10,0,0,0,44,119,63,23.4,58.83,0.6,32.5,60
50,2006/11,NA,NA,NA,64,149,134,23.6,NA,NA,9,10
51,2006/12,NA,NA,NA,86,152,181,28.9,NA,NA,17.5,77.5
52,2007/01,NA,NA,NA,135,203,337,54.7,NA,NA,10.25,11.75
53,2007/02,NA,NA,NA,179,287,227,65.4,NA,NA,27.5,16.25
54,2007/03,0,0,0,67,124,87,80.7,55.83,1.68,90,23.75
55,2007/04,0,0,0,70,203,224,95.8,8.68,3.18,50,8.5
56,2007/05,NA,NA,NA,89,189,365,98.9,NA,NA,31.25,30
57,2007/06,NA,NA,NA,59,122,187,104.8,NA,NA,23.25,66.25
58,2007/07,NA,NA,NA,74,117,123,108.7,NA,NA,33,47.5
59,2007/08,3,1,1,40,129,142,105.9,46.8,1.94,32.5,12.75
60,2007/09,1,1,2,NA,NA,NA,98.5,50.63,3.6,NA,NA
61,2007/10,1,2,0,18,102,242,90.8,38.55,5.28,20,9.25
62,2007/11,2,4,1,25,76,194,86.8,NA,NA,41.25,9
63,2007/12,2,3,0,39,139,149,82,44.45,11.55,47.5,16.25
64,2008/01,NA,NA,NA,117,103,135,71.5,NA,NA,61.25,10.5
65,2008/02,17,13,2,178,76,200,59.6,41.1,15.7,28.75,2.5
66,2008/03,10,14,2,444,254,192,53.4,53.63,8.2,25,3.75
67,2008/04,NA,NA,NA,568,386,256,48.8,NA,NA,15,3
68,2008/05,11.5,10.5,7,488,522,156,45.5,35.24,38.01,8,3.25
69,2008/06,23,11,1,422,535,138,30.6,49.13,32.9,11.25,22.25
70,2008/07,1,21,0,295,465,69,25,44.45,19.75,7.25,3.75
71,2008/08,2,10,2,195,342,91,24.9,49.3,58.83,6.25,2
72,2008/09,NA,NA,NA,122,376,78,24.3,NA,NA,32.5,2
73,2008/10,NA,NA,NA,119,345,82,21.4,NA,NA,12.5,6.5
74,2008/11,NA,NA,NA,42,207,66,19.7,NA,NA,5,18.75
75,2008/12,3,7,1,19,123,79,19.7,42.78,31.4,15,7.5
76,2009/01,NA,NA,NA,27,99,42,18.9,NA,NA,7.5,10
77,2009/02,0,1,1,37,122,40,18.6,52.13,52.48,11.25,8.75
78,2009/03,NA,NA,NA,NA,NA,NA,21,NA,NA,NA,NA
79,2009/04,0,0,0,12,57,25,19.4,50.63,47.98,30,86.25
80,2009/05,1,3,0,16,106,49,18.6,51.15,40.93,55,96.25
81,2009/06,0,0,0,13,100,36,17.6,21.25,35.45,32.5,81.25
82,2009/07,NA,NA,NA,5,44,20,16.2,NA,NA,12.5,83.75
83,2009/08,1,0,0,3,17,15,14.9,41.8,49.3,11.25,71.25
84,2009/09,NA,NA,NA,4,27,14,28.9,NA,NA,24.5,97
85,2009/10,NA,NA,NA,1,139,134,46.5,NA,NA,70,38.75
86,2009/11,NA,NA,NA,12,230,154,55.2,NA,NA,77.5,28.75
87,2009/12,4,5,1,NA,NA,NA,71.4,44.31,2.58,NA,NA
88,2010/01,NA,NA,NA,9,170,168,74.9,NA,NA,68.75,36.25
89,2010/02,NA,NA,NA,NA,NA,NA,87.3,NA,NA,NA,NA
90,2010/03,0,4,3,NA,NA,NA,91.2,47.28,30.55,60,40
91,2010/04,25,36,13,0,74,59,96.5,38.6,5.35,92.5,46.25
92,2010/05,6,10,6,18,41,67,97.8,34.05,25.05,61.25,13.75
93,2010/06,NA,NA,NA,NA,NA,NA,97.1,NA,NA,NA,NA
94,2010/07,10,29,12,2,8,2,99.5,26.15,24.13,65,51.25
95,2010/08,NA,NA,NA,9,63,67,91.7,NA,NA,78.75,12.5
96,2010/09,2,8,1,NA,NA,NA,105.8,31.75,3.65,NA,NA
97,2010/10,3,2,3,1,28,64,91.6,54.33,39.6,68.75,15.75
98,2010/11,NA,NA,NA,13,47,58,78.1,NA,NA,78.75,25
99,2010/12,7,8,2,24,47,81,70.5,40.93,28.4,66.25,17.25
100,2011/01,NA,NA,NA,9,39,74,62,NA,NA,NA,NA
101,2011/02,NA,NA,NA,59,54,111,51.9,NA,NA,7.5,1.25
102,2011/03,18,23,7,76,47,63,43.8,29.33,37.93,28.75,33.75
103,2011/04,38,33,2,79,74,56,39.3,28.4,19.23,4.5,57.5
104,2011/05,18,33,2,55,125,41,32.8,22.13,28.4,18.75,76.25
105,2011/06,3,30,2,17,74,69,27.3,27.08,15.53,43.75,76.25
106,2011/07,3,24,3,21,91,31,21.4,35.55,34.75,78.75,67.5
107,2011/08,1,2,2,9,75,51,19.8,15.7,34.75,70,65
108,2011/09,NA,NA,NA,5,66,31,18.5,NA,NA,55,40
109,2011/10,0,4,0,2,23,23,17.3,60.15,10.68,60,31.25
110,2011/11,1,1,0,5,30,25,18.1,49.3,18.7,40,56.25
111,2011/12,0,1,0,NA,NA,NA,23.2,38.38,6.7,NA,NA
112,2012/01,NA,NA,NA,NA,NA,NA,30.1,NA,NA,15,3.75
113,2012/02,9,7,2,26,48,71,67.1,43.75,10.68,95.75,32.5
114,2012/03,NA,NA,NA,NA,NA,NA,90.4,NA,NA,NA,NA
115,2012/04,0,0,0,11,61,71,95.7,53.15,18.7,78.75,26.25
116,2012/05,2,1,0,NA,NA,NA,88.5,47.1,10.85,85,6.25
117,2012/06,10,30,5,4,33,40,79.8,38.92,19.13,85,6.25
118,2012/07,NA,NA,NA,8,26,40,79.4,NA,NA,77.5,5
119,2012/08,5,19,0,7,22,23,70.3,25.8,12.78,55,10.25
120,2012/09,0,1,0,9,51,35,53.7,35.73,7.18,20.75,8
121,2012/10,5,6,2,11,29,44,42.6,15.57,9.02,12.5,2
122,2012/11,9,9,2,41,72,34,34,17.8,3.9,3.25,0.5
123,2012/12,41,34,4,58,74,43,30.2,18.92,21.8,13.75,0.5
124,2013/01,19,35,0,96,136,62,27.6,24.68,15.34,1.25,0.5
125,2013/02,19,37,3,176,189,53,27.1,29.13,52.05,1,0.25
126,2013/03,38,78,4,122,265,38,25.6,38.93,59.33,1,0.5
127,2013/04,15,20,0,97,354,78,26.8,22.68,21.35,7.75,2
128,2013/05,26,23,2,62,353,93,25.3,6.57,11.37,5.5,62.5
129,2013/06,7,4,0,51,268,108,23.9,8.78,23.83,57.5,59.5
130,2013/07,9,10,2,48,201,43,20.8,25.93,18.03,37.5,61.25
131,2013/08,NA,NA,NA,20,159,28,20.2,NA,NA,8.75,60
132,2013/09,1,6,0,10,89,40,30.3,22.23,15.88,11.25,77.5
133,2013/10,NA,NA,NA,NA,NA,NA,62.7,NA,NA,NA,NA
134,2013/11,0,0,0,NA,NA,NA,95.4,62.23,0.34,NA,NA
135,2013/12,NA,NA,NA,1,34,40,78.5,NA,NA,70,0
136,2014/01,NA,NA,NA,NA,NA,NA,73.5,NA,NA,NA,NA
137,2014/02,0,4,2,0,45,38,60.9,55.48,15.18,89.5,25
138,2014/03,NA,NA,NA,NA,NA,NA,52.3,NA,NA,NA,NA
139,2014/04,1,4,0,18,48,87,45.5,41.45,12.7,41.25,3.25
1,2002/01,NA,NA,NA,NA,NA,NA,111.8,NA,NA,NA,NA
2,2002/02,NA,NA,NA,NA,NA,NA,108.5,NA,NA,NA,NA
3,2002/03,NA,NA,NA,NA,NA,NA,101.6,NA,NA,NA,NA
4,2002/04,NA,NA,NA,NA,NA,NA,98,NA,NA,NA,NA
5,2002/05,NA,NA,NA,NA,NA,NA,90.5,NA,NA,NA,NA
6,2002/06,NA,NA,NA,NA,NA,NA,79.7,NA,NA,NA,NA
7,2002/07,NA,NA,NA,NA,NA,NA,96.7,NA,NA,NA,NA
8,2002/08,NA,NA,NA,NA,NA,NA,100.7,NA,NA,NA,NA
9,2002/09,NA,NA,NA,NA,NA,NA,92,NA,NA,NA,NA
